Nome|Idade|Localização(Cidade, Estado)|Amigos(Lista)|Hobbies|Coding|Jogos|ID|Email|DataDeNascimento|Jogos(Nome, Plataforma)|ano_nascimento
RafaelRibeiro Moraes|22|['Juiz de Fora', 'MG']||[]|['Ruby', 'PHP', 'Python', 'Kotlin']||e1a063cd1ae44dce8de49c383cfc2f6c|rafaelkk@mailservice.com|2002-01-24|[['Fortnite', 'PlayStation 4']]|2002
PedroLima Dias|2024|['Juiz de Fora', 'MG']||['pintura', 'fotografia', 'futebol', 'cinema', 'leitura']|['C#']||ecb80d2dd0074de78a2e9aa411c0a842|maria.santos@|2003-03-16|[['Overwatch', 'PC'], ['GTA V', 'PlayStation 4'], ['Among Us', 'Mobile']]|0
MarianaRibeiro|2024|['Juiz de Fora', 'MG']||[]|['C++']||a348d20b88c044f0bd5bad793cd21145|mariana5@randommail.com|2000-06-04|[['Overwatch', 'PC'], ['Minecraft', 'PC'], ['Cyberpunk 2077', 'PC'], ['GTA V', 'PlayStation 4'], ['Fortnite', 'PlayStation 4']]|0
AnaMartins Silva|34|['Juiz de Fora', 'MG']||['futebol', 'música', 'fotografia', 'natação', 'leitura']|['Java', 'Python', 'Kotlin', 'JavaScript', 'PHP']||7bfa926cf05d4f7591e6b1b54c7fc09b|ana6wz@fastmail.com|1990-10-02|[['Fortnite', 'PlayStation 4'], ['The Witcher 3', 'Xbox One']]|1990
RafaelOliveira Araújo Dias|38|['Belo Horizonte', 'MG']||['cozinhar', 'ciclismo', 'cinema', 'fotografia', 'música']|['C#', 'Ruby']||47ab0baac013428ab38b7a94ae94ae24|rafaelbm1@webmail.net|1985-12-01|[['Overwatch', 'PC'], ['GTA V', 'PlayStation 4'], ['Fortnite', 'PlayStation 4'], ['Minecraft', 'PC']]|1986
BeatrizCosta Lima Correia|20|['Juiz de Fora', 'MG']||['cinema', 'viagem', 'futebol', 'música', 'ciclismo']|['Go', 'Python']||35a7d25adac442c4a00efbbfd5c6685c|beatrizd@webmail.net|2004-03-24|[['GTA V', 'PlayStation 4'], ['Valorant', 'PC']]|2004
BeatrizCosta Fernandes Martins|26|['Juiz de Fora', 'MG']||['natação', 'fotografia', 'música', 'futebol']|['PHP']||cee5ac3d4a0e4662814cdfa3afaecadc|beatriz7u@inbox.org||[['Fortnite', 'PlayStation 4'], ['Overwatch', 'PC']]|1998
FernandaCosta Ribeiro|23|['Belo Horizonte', 'MG']||[]|['Java', 'Python']||5752ea5398f64dccb7fb84d3d191e12f|fernanda1@mailservice.com|2001-07-23|[['Overwatch', 'PC']]|2001
MarianaSouza Martins|45|['Belo Horizonte', 'MG']||['música', 'ciclismo']|['Python', 'Ruby', 'C#', 'Swift']||5ec73483bae349848a7ddc30c817ffb6|mariana6@inbox.org|1978-11-21|[['GTA V', 'PlayStation 4']]|1979
JoãoSilva Almeida Correia|28|['Juiz de Fora', 'MG']||['fotografia']|['Swift', 'Kotlin', 'C#', 'Java']||37c70995dd164dbca7d6deec13c029ee|joãoy@inbox.org|1996-03-25|[['Apex Legends', 'PC']]|1996
CarlaRibeiro Moraes|33|['Juiz de Fora', 'MG']||['fotografia', 'futebol', 'música']|['Python', 'Swift', 'JavaScript']||7012c3f1eb2f4451a381d08ec7d167ba|carlam@inbox.org|1991-06-02|[['Among Us', 'Mobile'], ['League of Legends', 'PC']]|1991
MarianaCosta|31|['Belo Horizonte', 'MG']||['leitura']|[]||6bc0b38256cc4eea9d8726041b1a8e36|marianasch@freemail.com|1993-01-05|[['League of Legends', 'PC']]|1993
