Nome|Idade|Localização(Cidade, Estado)|Amigos(Lista)|Hobbies|Coding|Jogos|ID|Email|DataDeNascimento|Jogos(Nome, Plataforma)|ano_nascimento
MatheusCorreia Carvalho|26|['Petropolis', 'RJ']||['natação', 'cinema', 'cozinhar', 'ciclismo']|['Java', 'JavaScript', 'C#']||fa165612eba2494391ced436265e4047|matheus6u@webmail.net|1998-10-21|[['League of Legends', 'PC'], ['GTA V', 'PlayStation 4'], ['Apex Legends', 'PC'], ['The Witcher 3', 'Xbox One']]|1998
FernandaLima Costa|41|['Rio de Janeiro', 'RJ']||['cinema', 'ciclismo', 'pintura']|['Ruby', 'C#', 'Python', 'C++', 'Kotlin']||b828654c04b641b28f8b13828f1f68b8|fernanda8zw@randommail.com|1983-06-14|[['Apex Legends', 'PC']]|1983
AnaMoraes Souza Rocha|48|['Rio de Janeiro', 'RJ']||['cinema', 'fotografia', 'natação', 'viagem', 'pintura']|['Swift', 'Kotlin']||77f14ee387a64b99bdf841c68e57a3f5|anad@webmail.net|1976-08-19|[['GTA V', 'PlayStation 4'], ['Fortnite', 'PlayStation 4']]|1976
SofiaCorreia Barbosa Pereira|2024|['Rio de Janeiro', 'RJ']||['cinema', 'futebol', 'fotografia']|['Python']||674f98e7177f4463be93afad527a0d4a|sofiajb@fastmail.com|1981-03-06|[]|0
AnaRodrigues Gomes|40|['Petropolis', 'RJ']||['viagem', 'futebol', 'leitura', 'natação']|['Go', 'C#', 'Java', 'Swift']||1a470c9cffb740489319fec8fdab2b64|anahi7@webmail.net|1984-08-23|[['Apex Legends', 'PC'], ['Overwatch', 'PC'], ['Valorant', 'PC']]|1984
FernandaRibeiro|34|['Volta Redonda', 'RJ']||['cozinhar', 'viagem', 'pintura']|['Python', 'Swift']||90f79e6d5aae4eb0b300de7c08b81c6f|fernanda9s5@example.com|1990-05-14|[['Apex Legends', 'PC'], ['Valorant', 'PC']]|1990
MariaSilva|23|['Petropolis', 'RJ']||['pintura', 'ciclismo']|[]||26b30b862ec74dbf8ca7abefafb94c4d|mariaee5@inbox.org|2001-03-06|[['Valorant', 'PC'], ['Among Us', 'Mobile'], ['Overwatch', 'PC']]|2001
JuliaRocha Almeida|44|['Rio de Janeiro', 'RJ']||['ciclismo', 'música', 'futebol']|['C++', 'Kotlin', 'PHP', 'Swift', 'C#']||a39ebff3b42c4c10b56b85766d68dd1f|juliakm8@webmail.net|1980-01-03|[['League of Legends', 'PC'], ['Overwatch', 'PC'], ['Apex Legends', 'PC'], ['Cyberpunk 2077', 'PC'], ['Among Us', 'Mobile']]|1980
CarlosRodrigues Pereira|36|['Rio de Janeiro', 'RJ']||['música', 'viagem']|[]||31f366ac2798427b92374e4923aa5553|carlosea@webmail.net|1988-03-02|[]|1988
MariaDias Lima Araújo|22|['Petropolis', 'RJ']||['natação', 'futebol', 'ciclismo', 'viagem']|[]||31e9064165a44e88b8542d14dca55197|mariasv@inbox.org|2002-09-28|[['Overwatch', 'PC'], ['Fortnite', 'PlayStation 4']]|2002
AnaCarvalho|29|['Petropolis', 'RJ']||['pintura', 'cinema', 'música', 'futebol', 'leitura']|['JavaScript', 'Swift', 'C#', 'Go']||ea9bb31f382040bba88dc18302e5dc0b|anal7p@randommail.com|1995-01-25|[['Minecraft', 'PC']]|1995
LarissaOliveira Ribeiro Silva|30|['Petropolis', 'RJ']||['viagem']|['C++', 'Java', 'C#', 'JavaScript']||d10f597d0b7743989dbdeed793a435ad|larissawkq@fastmail.com|1993-12-04|[['Among Us', 'Mobile']]|1994
MarianaRocha Barbosa|29|['Petropolis', 'RJ']||['leitura', 'viagem', 'cinema']|['Go', 'C++', 'Ruby']||0628eaeae2234830bd05276d26d42379|mariana0@fastmail.com|1995-01-28|[]|1995
MarianaAlmeida Silva|29|['Rio de Janeiro', 'RJ']||['música', 'viagem']|['Java', 'C#']||feed5820a4074abaa5286fade0050272|mariana0@mail.com|1995-11-22|[['The Witcher 3', 'Xbox One']]|1995
MarianaAlmeida Silva|29|['Rio de Janeiro', 'RJ']||['música', 'viagem']|['Java', 'C#']||938417ae2bce421cb586a799f71b818c|joaogmail.com|1995-11-22|[['The Witcher 3', 'Xbox One']]|1995
MarianaAlmeida Silva|2024|['Rio de Janeiro', 'RJ']||['música', 'viagem']|['Java', 'C#']||229d9217db8342d9bcf6eb5544e64b44|mariana2@mail.com|1995-11-22|[['The Witcher 3', 'Xbox One']]|0
